	Test	Instances	Knocked out
0.5	0.7523680649526387	0.24000000000000002	0.7717528373266077
0.59	0.7523680649526387	0.24000000000000002	0.7717528373266077
0.6	0.7523680649526387	0.24000000000000002	0.7717528373266077
0.65	0.7523680649526387	0.24000000000000002	0.7717528373266077
0.67	0.7466124661246613	0.23272727272727273	0.7751466890192791
0.68	0.7466124661246613	0.23913043478260873	0.7678364421962273
0.69	0.7466124661246613	0.23913043478260873	0.7678364421962273
0.7	0.7466124661246613	0.23913043478260873	0.7678364421962273
0.72	0.7555856465809073	0.23188405797101447	0.7703314045239347
0.73	0.7637583892617449	0.23404255319148937	0.772870002093364
0.74	0.7559161595672752	0.2335766423357664	0.7691334598355472
0.75	0.7528774542992551	0.2344322344322344	0.7679645457423235
0.77	0.7488087134104834	0.22710622710622713	0.7728899179120186
0.78	0.751358695652174	0.2344322344322344	0.7750944981100379
0.79	0.7486338797814207	0.2335766423357664	0.7759253433993918
0.8	0.7428958051420839	0.2335766423357664	0.7772085729221118
0.81	0.7540760869565217	0.23272727272727273	0.7727177334732425
0.82	0.7567934782608694	0.2335766423357664	0.7761006289308177
0.83	0.7544097693351424	0.2344322344322344	0.7739632545931758
0.84	0.7544097693351424	0.2344322344322344	0.7739632545931758
0.85	0.7488087134104834	0.23616236162361626	0.7725457220937566
0.87	0.7538983050847459	0.23272727272727273	0.7718966603654693
0.88	0.7498305084745762	0.2335766423357664	0.7664202745512144
0.89	0.7522063815342839	0.24000000000000002	0.7708311442681517
0.9	0.7522063815342839	0.24000000000000002	0.7708311442681517
0.92	0.7557666214382632	0.23529411764705882	0.7662269129287599
0.93	0.7557666214382632	0.23529411764705882	0.7662269129287599
0.94	0.7557666214382632	0.23529411764705882	0.7662269129287599
0.97	0.7596479350033853	0.24000000000000002	0.7697645079899075
0.98	0.7596479350033853	0.24000000000000002	0.7697645079899075
0.99	0.7596479350033853	0.24000000000000002	0.7697645079899075
1.0	0.7564276048714479	0.23272727272727273	0.7884695147241808
